population,white%,black%,hispanic%,25/3%,100/20%,fiber%,geoid
3068.0,0.9106910039113429,0.001955671447196871,0.06290743155149935,1.0,1.0,1.0,37005950300
2497.0,0.9167000400480577,0.0032038446135362435,0.03283940728874649,1.0,1.0,1.0,37009970200
2390.0,0.9518828451882845,0.0012552301255230125,0.015899581589958158,1.0,1.0,1.0,37009970300
4360.0,0.8940366972477064,0.004357798165137615,0.0731651376146789,0.992792028831885,0.992792028831885,0.992792028831885,37009970400
4937.0,0.8025116467490379,0.11221389507798259,0.05509418675308892,0.974398460057748,0.295283926852743,0.0,37011930400
6175.0,0.3096356275303644,0.3266396761133603,0.31157894736842107,1.0,1.0,0.0957878315132605,37001020802
3871.0,0.5166623611469905,0.20330663911134073,0.21518987341772153,1.0,1.0,0.604633593553261,37001020901
4091.0,0.340014666340748,0.36152529943779027,0.235883647030066,1.0,1.0,0.163006344558321,37001021000
3479.0,0.8853118712273642,0.04800229951135384,0.030181086519114688,1.0,1.0,0.0,37001021701
3248.0,0.9067118226600985,0.013238916256157635,0.04649014778325123,0.982879595846197,0.38422677518944703,0.0785854616895874,37003040100
3090.0,0.9119741100323625,0.025889967637540454,0.024271844660194174,1.0,0.916204559457794,0.0,37003040300
6846.0,0.8898626935436751,0.01621384750219106,0.03125912941863862,1.0,0.9959269874792579,0.0,37003040700
2783.0,0.4498742364355013,0.4753862738052461,0.01437297879985627,0.890743073047859,0.858312342569269,0.0503778337531486,37007920100
1411.0,0.6158752657689582,0.32742735648476257,0.01913536498936924,0.852,0.8057142857142859,0.0457142857142857,37007920200
2475.0,0.24363636363636362,0.7026262626262626,0.019393939393939394,0.946118397731301,0.936547323644098,0.0485643388869195,37007920400
3481.0,0.3835104854926745,0.5484056305659293,0.03619649525998277,0.845583277140931,0.581029444819061,0.0651831872330861,37007920600
3057.0,0.8845273143604842,0.017664376840039256,0.0549558390578999,0.9886252843678911,0.9886252843678911,0.971725706857329,37011930100
3351.0,0.8883915249179349,0.005669949268874963,0.06833780960907192,0.9873780837636259,0.857142857142857,0.0900745840504877,37011930301
3431.0,0.8991547653745264,0.002914602156805596,0.0591664237831536,0.983648255813954,0.856104651162791,0.368822674418605,37011930200
3030.0,0.931023102310231,0.0039603960396039604,0.037953795379537955,0.977026583524778,0.750246143747949,0.0,37011930302
5898.0,0.6910817226178365,0.19159036961681927,0.0766361478467277,0.7829419439008479,0.24804305283757302,0.13747553816047,37013930200
3892.0,0.4026207605344296,0.49126413155190135,0.06115107913669065,0.977805486284289,0.143391521197007,0.0231920199501247,37013930300
5128.0,0.4703588143525741,0.3958658346333853,0.09418876755070203,0.9896544993168069,0.297286746047238,0.0138590669529573,37013930400
2663.0,0.8877206158467893,0.06496432594817875,0.01877581674802854,0.99337528983107,0.0,0.715137462736005,37013930700
2016.0,0.5525793650793651,0.3740079365079365,0.02976190476190476,0.747935509241054,0.719229256783327,0.0,37013930800
3875.0,0.7901935483870968,0.1550967741935484,0.019096774193548386,0.5447263017356481,0.36662216288384497,0.25153538050734303,37013930900
2788.0,0.156025824964132,0.7926829268292683,0.015781922525107604,0.6783738938053099,0.674502212389381,0.0257190265486726,37015960300
6040.0,0.739569536423841,0.0978476821192053,0.09072847682119205,0.975088183421517,0.975088183421517,0.729938271604938,37019020102
5169.0,0.7415360804797834,0.12342812923195975,0.05571677307022635,1.0,1.0,0.936285936285936,37019020201
2396.0,0.7612687813021702,0.13063439065108515,0.05008347245409015,0.9779364049318621,0.9779364049318621,0.136275146009085,37019020203
4440.0,0.647972972972973,0.16126126126126125,0.15990990990990991,0.991525423728814,0.40811775200713596,0.116636931311329,37013930501
3422.0,0.7367036820572764,0.11689070718877849,0.12185856224430158,0.9864396999422971,0.101557991921523,0.594056549336411,37013930502
3259.0,0.9196072414851182,0.013807916538815588,0.03804848112918073,0.987538940809969,0.0894080996884735,0.912772585669782,37013930600
4749.0,0.5104232469993683,0.4472520530638029,0.019161928827121498,0.769089910272844,0.698040651895257,0.0,37015960100
3232.0,0.3344678217821782,0.6070544554455446,0.02073019801980198,0.601983382471187,0.590458322165639,0.0,37015960200
2734.0,0.48500365764447695,0.3079736649597659,0.1554498902706657,0.594232749742533,0.574665293511843,0.343975283213182,37017950200
2698.0,0.45218680504077097,0.3446997776130467,0.14269829503335804,0.894181489297558,0.894181489297558,0.481157672595719,37019020101
6424.0,0.8636363636363636,0.03969489414694894,0.026930261519302615,0.97029420165667,0.97029420165667,0.119822907740646,37019020204
8816.0,0.9361388384754991,0.007486388384754991,0.018148820326678767,1.0,1.0,0.912778579445246,37019020304
3348.0,0.8437873357228196,0.08004778972520908,0.023596176821983273,1.0,1.0,0.670605612998523,37019020305
2578.0,0.86966640806827,0.05663304887509697,0.0321955003878976,0.998659966499162,0.998659966499162,0.160804020100503,37019020306
