per_access,county_name,county_code,date
0.09612983770287141,Nash County,127.0,2021-01
0.045454545454545456,Nash County,127.0,2022-01
0.0,New Hanover County,129.0,2022-01
0.20634920634920634,New Hanover County,129.0,2021-01
0.11224489795918367,New Hanover County,129.0,2020-06
0.028409090909090908,Northampton County,131.0,2020-07
0.013333333333333334,Northampton County,131.0,2021-01
0.0,Northampton County,131.0,2022-02
0.023255813953488372,Onslow County,133.0,2020-07
0.13761467889908258,Onslow County,133.0,2021-01
0.0,Onslow County,133.0,2022-01
0.072,Orange County,135.0,2022-01
0.07007575757575757,Orange County,135.0,2021-01
0.046620046620046623,Orange County,135.0,2020-06
0.01092896174863388,Pamlico County,137.0,2020-05
0.03225806451612903,Pamlico County,137.0,2021-01
0.0,Pamlico County,137.0,2022-03
0.04477611940298507,Pasquotank County,139.0,2020-07
0.03076923076923077,Pasquotank County,139.0,2021-01
0.0,Pasquotank County,139.0,2022-01
0.07142857142857142,Pender County,141.0,2022-01
0.03968253968253968,Pender County,141.0,2021-01
0.0,Pender County,141.0,2020-07
0.00980392156862745,Perquimans County,143.0,2020-04
0.022222222222222223,Perquimans County,143.0,2021-01
0.0,Perquimans County,143.0,2022-01
0.014124293785310734,Person County,145.0,2020-06
0.011494252873563218,Person County,145.0,2021-01
0.03529411764705882,Person County,145.0,2022-01
0.09841269841269841,Pitt County,147.0,2021-01
0.1,Pitt County,147.0,2022-01
0.07828282828282829,Pitt County,147.0,2020-07
0.038461538461538464,Polk County,149.0,2022-01
0.004618937644341801,Polk County,149.0,2020-06
0.025423728813559324,Polk County,149.0,2021-01
0.030927835051546393,Randolph County,151.0,2020-07
0.023809523809523808,Randolph County,151.0,2021-01
0.12,Randolph County,151.0,2022-01
0.03333333333333333,Richmond County,153.0,2020-07
0.03571428571428571,Richmond County,153.0,2021-01
0.0,Richmond County,153.0,2022-01
0.0,Robeson County,155.0,2022-02
0.07142857142857142,Robeson County,155.0,2021-01
0.016725352112676055,Robeson County,155.0,2020-06
0.011378002528445006,Rockingham County,157.0,2020-07
0.030612244897959183,Rockingham County,157.0,2021-01
0.06382978723404255,Rockingham County,157.0,2022-01
0.02481389578163772,Rowan County,159.0,2020-07
0.07246376811594203,Rowan County,159.0,2021-01
0.06666666666666667,Rowan County,159.0,2022-01
0.003861003861003861,Rutherford County,161.0,2022-01
0.01744186046511628,Rutherford County,161.0,2021-01
0.0048543689320388345,Rutherford County,161.0,2020-06
0.004120879120879121,Sampson County,163.0,2020-07
0.051001821493624776,Sampson County,163.0,2021-01
0.0,Sampson County,163.0,2022-01
0.010526315789473684,Scotland County,165.0,2020-07
0.0,Scotland County,165.0,2021-01
0.0,Scotland County,165.0,2022-02
0.045454545454545456,Stanly County,167.0,2022-02
0.048,Stanly County,167.0,2021-01
0.0299625468164794,Stanly County,167.0,2020-07
0.007142857142857143,Stokes County,169.0,2020-06
0.0625,Stokes County,169.0,2021-01
0.06390449438202248,Stokes County,169.0,2022-01
0.051194539249146756,Surry County,171.0,2020-07
0.0784313725490196,Surry County,171.0,2021-01
0.08695652173913043,Surry County,171.0,2022-01
0.0,Swain County,173.0,2022-01
0.0018148820326678765,Swain County,173.0,2020-07
0.005813953488372093,Swain County,173.0,2021-01
0.00684931506849315,Transylvania County,175.0,2020-07
0.011627906976744186,Transylvania County,175.0,2021-01
0.020618556701030927,Transylvania County,175.0,2022-01
0.0125,Tyrrell County,177.0,2020-07
0.0,Tyrrell County,177.0,2021-04
0.0,Tyrrell County,177.0,2022-02
0.22807017543859648,Union County,179.0,2022-02
0.049689440993788817,Union County,179.0,2021-01
0.054901960784313725,Union County,179.0,2020-07
0.03409090909090909,Vance County,181.0,2020-06
0.012987012987012988,Vance County,181.0,2021-01
0.0,Vance County,181.0,2022-01
0.222486144101346,Wake County,183.0,2020-05
0.3434285714285714,Wake County,183.0,2021-01
0.2413793103448276,Wake County,183.0,2022-01
0.0,Warren County,185.0,2022-02
0.0,Warren County,185.0,2020-07
0.01098901098901099,Warren County,185.0,2021-01
0.02631578947368421,Washington County,187.0,2020-07
0.06,Washington County,187.0,2021-02
0.0,Washington County,187.0,2022-02
0.02269503546099291,Watauga County,189.0,2020-06
0.0703125,Watauga County,189.0,2021-01
0.0625,Watauga County,189.0,2022-01
0.03734439834024896,Wayne County,191.0,2020-07
0.07042253521126761,Wayne County,191.0,2021-01
0.016666666666666666,Wayne County,191.0,2022-01
0.0962962962962963,Wilkes County,193.0,2021-01
0.02564102564102564,Wilkes County,193.0,2020-07
0.0,Wilkes County,193.0,2022-01
0.06338028169014084,Wilson County,195.0,2021-01
0.06349206349206349,Wilson County,195.0,2020-06
0.045454545454545456,Wilson County,195.0,2022-01
0.11538461538461539,Yadkin County,197.0,2021-01
0.04,Yadkin County,197.0,2020-06
0.0,Yadkin County,197.0,2022-01
0.013513513513513514,Yancey County,199.0,2021-01
0.005494505494505495,Yancey County,199.0,2020-07
0.024390243902439025,Yancey County,199.0,2022-02
